Participant,Rescue 1,Rescue 2,Rescue 3,Rescue 4,Rescue 5,Rescue 6,Rescue 7,Rescue 8,Rescue 9,Rescue 10,Rescue 11,Rescue 12,Rescue 13,Rescue 14,Rescue 15
1,1,2,3,15.0,14.0,13.0,12.0,11.0,8.0,9.0,10.0,7.0,6.0,4.0,5.0
2,1,2,3,15.0,14.0,13.0,12.0,11.0,8.0,7.0,6.0,10.0,9.0,4.0,5.0
3,1,2,3,15.0,14.0,13.0,12.0,11.0,8.0,9.0,7.0,6.0,10.0,4.0,5.0
4,1,2,3,15.0,14.0,13.0,12.0,11.0,6.0,7.0,8.0,9.0,10.0,4.0,5.0
5,1,2,3,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,4.0,5.0
6,1,2,3,15.0,14.0,13.0,12.0,11.0,6.0,7.0,8.0,9.0,10.0,4.0,5.0
7,1,2,3,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,4.0,5.0
8,1,2,3,15.0,14.0,13.0,12.0,11.0,6.0,7.0,8.0,9.0,10.0,4.0,
9,1,2,3,15.0,14.0,13.0,12.0,11.0,6.0,7.0,8.0,9.0,10.0,4.0,5.0
10,1,2,3,15.0,14.0,13.0,12.0,11.0,9.0,8.0,10.0,6.0,7.0,4.0,5.0
11,1,2,3,15.0,14.0,13.0,12.0,11.0,6.0,10.0,9.0,8.0,7.0,4.0,5.0
12,1,2,3,5.0,4.0,7.0,8.0,6.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0
13,1,2,3,15.0,14.0,13.0,12.0,11.0,6.0,7.0,8.0,9.0,10.0,5.0,4.0
14,1,2,3,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,4.0,5.0
15,1,2,3,12.0,11.0,13.0,14.0,15.0,10.0,9.0,8.0,7.0,6.0,4.0,5.0
16,1,2,3,7.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,5.0,4.0
17,1,2,3,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,4.0,5.0
18,1,3,2,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,4.0,5.0
19,1,2,3,5.0,4.0,7.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0
20,1,2,3,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,4.0,5.0
21,1,2,3,15.0,14.0,13.0,12.0,11.0,6.0,7.0,8.0,9.0,10.0,4.0,5.0
22,1,2,3,15.0,14.0,13.0,12.0,11.0,9.0,8.0,7.0,10.0,6.0,4.0,5.0
23,1,2,3,15.0,14.0,13.0,12.0,11.0,6.0,7.0,8.0,9.0,10.0,4.0,5.0
24,1,2,3,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,4.0,5.0
25,1,2,3,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0
26,1,5,3,2.0,14.0,15.0,13.0,12.0,11.0,8.0,7.0,6.0,10.0,9.0,4.0
27,1,2,3,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,,,,
28,1,2,3,14.0,15.0,13.0,12.0,11.0,8.0,9.0,7.0,6.0,10.0,4.0,5.0
29,1,2,3,12.0,13.0,11.0,14.0,15.0,10.0,9.0,8.0,7.0,6.0,4.0,5.0
30,1,2,3,15.0,14.0,13.0,12.0,11.0,10.0,8.0,7.0,6.0,4.0,5.0,9.0
31,1,2,3,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,4.0,5.0
32,1,2,3,8.0,9.0,10.0,7.0,6.0,15.0,14.0,13.0,12.0,11.0,4.0,5.0
33,1,2,3,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,4.0,5.0
34,1,2,15,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,3.0,4.0,5.0
35,1,15,14,13.0,12.0,11.0,8.0,9.0,7.0,6.0,10.0,3.0,2.0,5.0,4.0
36,1,2,3,5.0,4.0,7.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0
37,1,2,3,7.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,4.0,5.0
38,1,2,3,,,,,,,,,,,,
